id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Clinton,-0.03285679,-0.06396876,-0.07680496,-0.15188475,-0.19820219,-0.28159234, -0.17385448,-0.16321996,-0.12606703,-0.1617234 ,-0.15836755,-0.07619144,  0.00950543, 0.19612494, 0.20810715, 0.26767739, 0.2214867 , 0.24133542,  0.0581236 , 0.06703614, 0.04887716, 0.00055225,-0.04781721,-0.02379124
Clinton Hill, 0.05321539, 0.05602477, 0.05812432, 0.05450882, 0.02137627,-0.00397066, -0.00538275,-0.00615587,-0.00916151,-0.0210702 ,-0.02625211,-0.02051325, -0.01747066, 0.02481966, 0.02842338, 0.03031417, 0.03027927, 0.03917826,  0.0397204 , 0.02975068, 0.03111781, 0.04027986, 0.04348007, 0.05055689
Co-op City, 0.00216053, 0.00247414, 0.00226599, 0.00299657, 0.00151772, 0.00134619,  0.00062264, 0.00077669, 0.00078519, 0.00167364, 0.00306902, 0.00475985,  0.01031324, 0.01539859, 0.01452162, 0.00990601, 0.00878632, 0.0054533 ,  0.00337801, 0.0021199 , 0.00186569, 0.00140646, 0.00165675, 0.00177869
College Point, 0.00506417, 0.00610565, 0.0072853 , 0.00854787, 0.00595718, 0.00312928,  0.00135158, 0.00103674, 0.00229901, 0.00355629, 0.00531366, 0.00627328,  0.01391168, 0.0230577 , 0.0206721 , 0.01454423, 0.01225381, 0.01035507,  0.00708436, 0.00501253, 0.00355129, 0.00399039, 0.00374627, 0.00430363
Corona, 0.02713086, 0.04222665, 0.04765509, 0.06274006, 0.04643054, 0.01234732,  0.00255867, 0.00087547, 0.00056016, 0.0019348 , 0.00692121, 0.01493282,  0.03917422, 0.06804152, 0.07740252, 0.05607995, 0.04684618, 0.0439741 ,  0.02964113, 0.02032222, 0.01812762, 0.01746888, 0.01410798, 0.01674992
Crotona Park East,  2.22805472e-03,  2.23150325e-03,  2.37364737e-03,  3.11142451e-03,   1.97986764e-03,  8.59896998e-04,  5.12293928e-04,  4.74314488e-04,   2.60004671e-05,  3.79561147e-04,  1.01698382e-03,  2.60919343e-03,   4.60958416e-03,  1.01846348e-02,  8.34306256e-03,  2.56058275e-03,   3.19980624e-03,  3.71986140e-03,  2.31026770e-03,  1.26650483e-03,   1.07261735e-03,  1.05253420e-03,  1.22974725e-03,  1.69099666e-03
Crown Heights North, 0.08777449, 0.0948229 , 0.10245035, 0.10184802, 0.04343355, 0.00620917, -0.00154077,-0.00328124,-0.00352217,-0.00253212, 0.00207634, 0.01064288,  0.03993308, 0.06545252, 0.06206845, 0.06410691, 0.05135942, 0.04655499,  0.03279964, 0.02851686, 0.03022258, 0.04160509, 0.05184827, 0.06723056
Crown Heights South,  2.31323311e-02,  2.53712638e-02,  2.66089763e-02,  2.87814092e-02,   1.23993061e-02,  3.69122751e-03,  5.82512777e-04,  3.75537110e-04,  -5.82169246e-06,  5.47167841e-04,  2.56526960e-03,  5.85225214e-03,   1.63840817e-02,  2.55028657e-02,  2.50813444e-02,  1.86334312e-02,   1.60790632e-02,  1.37352697e-02,  1.10087393e-02,  7.43904815e-03,   8.08119055e-03,  1.01588293e-02,  1.28143490e-02,  1.74696003e-02
Cypress Hills-City Line, 0.00490017, 0.00496525, 0.00661248, 0.00598279, 0.00426262, 0.00161636,  0.0006962 , 0.00027474, 0.00041014, 0.00091746, 0.00210597, 0.00355366,  0.00642105, 0.01147913, 0.00873624, 0.00596825, 0.00560779, 0.00436508,  0.00349541, 0.00250376, 0.00224206, 0.00254009, 0.00260423, 0.00313641
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill, 0.00756265, 0.00739973, 0.00946527, 0.00812674,-0.0079074 ,-0.03130056, -0.02584652,-0.02261742,-0.02471346,-0.01912518,-0.01925889,-0.05821238, -0.15430941,-0.16198365,-0.14418313,-0.13552582,-0.15198423,-0.16571388, -0.1301234 ,-0.06390335,-0.02268448, 0.00299514, 0.01071219, 0.01138555
Douglas Manor-Douglaston-Little Neck, 0.00152867, 0.00140653, 0.00133749, 0.00136946, 0.00048137, 0.00075183,  0.00044208, 0.00028079, 0.00033513, 0.00060953, 0.00101698, 0.001403  ,  0.00372833, 0.00709222, 0.00786563, 0.00481343, 0.00346124, 0.0027761 ,  0.00199721, 0.00112256, 0.00155384, 0.00141711, 0.00126512, 0.00152771
Dyker Heights, 0.00489053, 0.00531303, 0.00708346, 0.0087393 , 0.00429063, 0.00136781,  0.00033842, 0.00046222, 0.00064881, 0.00078494, 0.00180224, 0.00252954,  0.00607834, 0.01000484, 0.00957877, 0.00610077, 0.00445196, 0.00431693,  0.003842  , 0.00261686, 0.00292759, 0.00402233, 0.00414548, 0.00443366
East Concourse-Concourse Village, 0.00981514, 0.01168637, 0.01408089, 0.01675997, 0.01042465, 0.00403704,  0.00193673, 0.00198621, 0.00409242, 0.0064173 , 0.00570629, 0.00177852,  0.00576011, 0.01111955, 0.02227291, 0.00451053, 0.0065985 , 0.010461  ,  0.0093652 , 0.00726426, 0.00591437, 0.00654505, 0.00619205, 0.00722772
East Elmhurst, 0.01406931, 0.01964496, 0.02004216, 0.02564205, 0.01947164, 0.00311848,  0.0010172 , 0.00089563, 0.00076473, 0.0017516 , 0.00580259, 0.01306664,  0.03109608, 0.05696637, 0.06448371, 0.04833696, 0.0369253 , 0.02857541,  0.01969603, 0.01327229, 0.01203578, 0.01222651, 0.01029024, 0.01117691
East Flatbush-Farragut, 0.00733595, 0.00997172, 0.00926342, 0.00904557, 0.005425  , 0.00363719,  0.00097708, 0.00079685, 0.00100112, 0.00188412, 0.00309124, 0.00614811,  0.01207574, 0.01500305, 0.01603818, 0.01267001, 0.01007975, 0.00740823,  0.00587127, 0.00436477, 0.00366689, 0.00437891, 0.00443099, 0.00578835
East Flushing, 0.003458  , 0.00376013, 0.00410955, 0.00370484, 0.00315626, 0.00121651,  0.00086339, 0.00046424, 0.00082155, 0.00131504, 0.00235044, 0.00326918,  0.00664136, 0.01288151, 0.01137617, 0.00695269, 0.00613066, 0.00528958,  0.00368548, 0.00273338, 0.00176622, 0.00239107, 0.00225556, 0.00276145
